id;consumer_assessed_brands;critical_success_factors;additional_buying_criteria;consumer_segment_group;segment_csf;gender;age_group;location;education;occupation;net_promoter_score
1;benchmark Shoes;Oregon optical Texas;blue background;Trail circuit Frozen;User-friendly Gorgeous Spurs;overriding analyzer;Principal Generic haptic;Jordanian;Mali;Pizza Omani;Steel
2;Sausages;Norwegian Games;deposit;drive black indexing;global parse;leading;Supervisor International Soft;heuristic concept;enhance context-sensitive;clear-thinking Real Niue;systems
3;evolve Technician calculate;RAM ADP productize;redundant Hill;Agent Markets Leu;Streets Orchestrator;TCP;payment Wooden IB;Baby;Metal panel collaborative;West transmitter parsing;needs-based Junctions indexing
4;Ergonomic Bike eyeballs;hack index cross-platform;invoice payment;Handmade District;Algeria Automated Ball;Chief Shoes Virtual;Avon;Sudanese Optimization;Realigned killer;copy Market back-end;Director Maine
5;Account Table alarm;deposit;invoice parsing Accountability;Florida Fresh;Product;Granite;compress XSS;up;portals eyeballs;Virtual;indigo Vermont
6;International Branding;program;Steel sensor;Money Beauty;Dynamic;Cambridgeshire;JSON Lead Connecticut;Computer Facilitator;Namibia Brand Automotive;Handmade;bypass Chicken copy
7;grey magenta Iowa;generating;24/365 (EURCO) knowledge;Savings multi-byte;green Sports;Savings;Concrete content;Investment Producer;invoice up;framework panel;microchip San panel
8;Towels distributed Buckinghamshire;instruction auxiliary deposit;Personal feed Lilangeni;Marketing whiteboard Officer;Soap;Fresh;Savings Lead Fundamental;virtual Principal array;Extended Palladium Fresh;Ameliorated Buckinghamshire transition;Automotive overriding
9;Global Garden architectures;Kentucky Market;Branding parse Borders;Tasty Corporate architecture;artificial unleash haptic;disintermediate;Avon Naira Connecticut;Enhanced;Wisconsin end-to-end synergies;capacitor Rubber;Ranch Light Knoll
10;optimizing Concrete;web-enabled;Pizza;Markets Research;connect Buckinghamshire scalable;Philippine Research;tan Bacon Strategist;invoice SMTP;Fords Ranch;Creative Coordinator;Cotton calculate Quality
