id;identifier;target_market;current_market_segmentation;segment_name;market_segmentation_type;unique_characteristic;segment_description;buying_criteria_category;competitor_product_name;competitor_company_name;competitor_brand_name;competitor_product_description;competitor_maturity_phase;competitor_competitive_position
1;incentivize compress one-to-one;Borders orchestration;Dynamic;COM circuit neural;Generic;Moroccan Cambridgeshire;../fake-data/blob/hipster.txt;Ergonomic global invoice;neural;program;Human matrices back;../fake-data/blob/hipster.txt;Turnpike;Unbranded hierarchy generation
2;Computer connecting Borders;Plastic Avon input;e-business FTP payment;compelling Cliff;knowledge;redefine;../fake-data/blob/hipster.txt;software Isle;Taka collaborative;architectures red strategize;high-level;../fake-data/blob/hipster.txt;transmit;Carolina systems black
3;Exclusive transmitting Indiana;payment Missouri;blue deposit;AGP RSS green;seize bandwidth;benchmark Connecticut;../fake-data/blob/hipster.txt;Soft Rupee generating;Soft primary;benchmark;yellow proactive;../fake-data/blob/hipster.txt;mission-critical;deposit
4;synthesizing;firewall connecting;Technician metrics Fresh;Executive;purple Innovative;Avon;../fake-data/blob/hipster.txt;e-markets Soft override;Buckinghamshire Fresh;deposit systematic;Ameliorated;../fake-data/blob/hipster.txt;multi-byte Director Rubber;transition Incredible mindshare
5;Soap override local;Sausages;infrastructure;solid;Integrated mesh;Quality;../fake-data/blob/hipster.txt;approach bluetooth;auxiliary compress;Buckinghamshire Investor;Ecuador Central web-readiness;../fake-data/blob/hipster.txt;Tactics Program;Brooks Intelligent
6;Fantastic Solutions;Virginia;leading-edge even-keeled Delaware;Bacon capacitor;Human;Profit-focused;../fake-data/blob/hipster.txt;Persistent Marino;zero Metal;Applications;Fish Avon Baby;../fake-data/blob/hipster.txt;tan Future;grow Station
7;Incredible;methodologies auxiliary Rubber;Generic;applications Ariary Research;maroon French;1080p;../fake-data/blob/hipster.txt;pixel Netherlands Metal;Division Plain drive;Glens S);innovate;../fake-data/blob/hipster.txt;maroon port;Plastic Avon
8;distributed Minnesota Internal;sensor Usability;program Associate;Moldovan black Tuna;magenta Gorgeous;compress scale Card;../fake-data/blob/hipster.txt;Investment Planner;Garden Avon Buckinghamshire;utilisation Singapore;wireless Sleek Kenya;../fake-data/blob/hipster.txt;Markets;Awesome
9;ADP Regional;Object-based Optimization primary;Mozambique Gloves;matrix Coordinator Station;Nebraska ADP;Shirt Movies;../fake-data/blob/hipster.txt;PNG Cotton synthesizing;non-volatile world-class;Account Mississippi;Coordinator violet;../fake-data/blob/hipster.txt;Intelligent bleeding-edge;RSS
10;copying Awesome Officer;Marketing deliverables;system invoice;needs-based;Auto;Chips Bermuda;../fake-data/blob/hipster.txt;Congo deposit;Awesome motivating;hacking deposit Georgia;Future Louisiana;../fake-data/blob/hipster.txt;firewall;Games sensor
