id;identifier;maf_category;weighting_maf;low_attractiveness_range_maf;medium_attractiveness_range_maf;high_attractiveness_range_maf;segment_score_maf
1;experiences Architect Viaduct;Bedfordshire connect Wooden;withdrawal;JSON extensible connect;ivory;JSON EXE;background
2;Fresh Gorgeous Unbranded;payment hacking TCP;Movies;visualize;Open-source;transmitter SAS Plastic;Granite bandwidth Executive
3;Hat AGP Savings;hacking;customized Usability;1080p connecting infrastructures;hack Administrator;Table Bedfordshire;Garden Credit
4;Account Fresh;Square proactive Canada;1080p system-worthy;Chips;integrate convergence;Flats Handcrafted virtual;Industrial Mauritius
5;capability e-business;system;wireless;protocol Tools Cotton;engineer collaboration Democratic;deposit;Rubber robust
6;up haptic Florida;payment invoice;Car calculating 6th;Texas Centers;Iran Streets;Generic;Research
7;Morocco program bluetooth;Dollar;Investment Cotton Borders;hacking partnerships compress;dot-com Libyan;Coordinator Flats;Drive
8;XML;interface Reactive services;invoice;Forks;bricks-and-clicks Home Assistant;mission-critical;withdrawal
9;hub;Metal;Investor invoice;Cliff Senior productize;Function-based Rubber;Frozen throughput Ringgit;index reboot Loan
10;Sausages monitor;Computer;Home matrix;District HDD;Account;Executive implement well-modulated;digital
